Numero,Nombre,Tipo,Correo_electronico,Telefono,Razon_Social,Tipo_Contribuyente,CUIT,Alta,Baja,Activo,Frecuencia,Fecha_donacion,Importe,Nro_Cuenta,Pais
D00108,Iniciativa Solidaria,Empresa,iniciativasolidaria@mail.com,5557477433,SAS,Monotributista,24-91224120-6,2022-10-04,2024-08-20,NO,Bimestral,2022-10-04,281342,404100,Brasil
D00108,Iniciativa Solidaria,Empresa,iniciativasolidaria@mail.com,5557477433,SAS,Monotributista,24-91224120-6,2022-10-04,2024-08-20,NO,Bimestral,2022-12-04,383818,404100,Brasil
D00108,Iniciativa Solidaria,Empresa,iniciativasolidaria@mail.com,5557477433,SAS,Monotributista,24-91224120-6,2022-10-04,2024-08-20,NO,Bimestral,2023-02-04,217763,404100,Brasil
D00108,Iniciativa Solidaria,Empresa,iniciativasolidaria@mail.com,5557477433,SAS,Monotributista,24-91224120-6,2022-10-04,2024-08-20,NO,Bimestral,2023-04-04,424093,404100,Brasil
D00108,Iniciativa Solidaria,Empresa,iniciativasolidaria@mail.com,5557477433,SAS,Monotributista,24-91224120-6,2022-10-04,2024-08-20,NO,Bimestral,2023-06-04,191399,404100,Brasil
D00108,Iniciativa Solidaria,Empresa,iniciativasolidaria@mail.com,5557477433,SAS,Monotributista,24-91224120-6,2022-10-04,2024-08-20,NO,Bimestral,2023-08-04,390950,404100,Brasil
D00108,Iniciativa Solidaria,Empresa,iniciativasolidaria@mail.com,5557477433,SAS,Monotributista,24-91224120-6,2022-10-04,2024-08-20,NO,Bimestral,2023-10-04,797809,404100,Brasil
D00108,Iniciativa Solidaria,Empresa,iniciativasolidaria@mail.com,5557477433,SAS,Monotributista,24-91224120-6,2022-10-04,2024-08-20,NO,Bimestral,2023-12-04,596040,404100,Brasil
D00108,Iniciativa Solidaria,Empresa,iniciativasolidaria@mail.com,5557477433,SAS,Monotributista,24-91224120-6,2022-10-04,2024-08-20,NO,Bimestral,2024-02-04,683505,404100,Brasil
D00108,Iniciativa Solidaria,Empresa,iniciativasolidaria@mail.com,5557477433,SAS,Monotributista,24-91224120-6,2022-10-04,2024-08-20,NO,Bimestral,2024-04-04,627181,404100,Brasil
D00108,Iniciativa Solidaria,Empresa,iniciativasolidaria@mail.com,5557477433,SAS,Monotributista,24-91224120-6,2022-10-04,2024-08-20,NO,Bimestral,2024-06-04,659415,404100,Brasil
D00108,Iniciativa Solidaria,Empresa,iniciativasolidaria@mail.com,5557477433,SAS,Monotributista,24-91224120-6,2022-10-04,2024-08-20,NO,Bimestral,2024-08-04,758508,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2019-08-09,183574,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2019-10-15,714947,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2019-12-20,249584,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2020-02-05,730842,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2020-04-12,280468,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2020-06-18,166865,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2020-08-22,655577,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2020-10-10,686866,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2020-12-25,492556,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2021-02-07,470537,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2021-04-14,143318,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2021-06-19,387405,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2021-08-23,748110,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2021-10-11,606837,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2021-12-27,732998,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2022-02-08,433172,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2022-04-16,65198,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2022-06-21,505685,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2022-08-24,547634,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2022-10-13,662880,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2022-12-29,257499,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2023-02-06,567511,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2023-04-17,78589,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2023-06-20,778799,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2023-08-26,402281,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2023-10-12,368134,404100,Argentina
D00109,Innovatech Solutions,Estado,innovatechsolutions@mail.com,5452632378,SA,Exento,24-56588769-6,2019-08-09,,SI,Bimestral,2023-12-28,238802,404100,Argentina
