N�mero_Proveedor,Nombre_Proveedor,CUIT,Categoria_Proveedor,Tipo_Contribuyente,Contacto,Correo_Electrónico,Teléfono,Razón_Social,Importe,Fecha,Nro_Cuenta,Ciudad,Pais
P00001,Proveedora S.A.,30-12345678-9,Servicios,Responsable Inscripto,Juan Pérez,juan.perez@empresa.com,1234-5678,S.A.,171488,2024-03-18,501400,Buenos Aires,Argentina
P00002,Pedro González,30-87654321-0,Servicios,Monotributista,Pedro González,pedro.gonzalez@correo.com,2345-6789,S.R.L.,288255,2024-02-08,503100,Cordoba,Argentina
P00003,Empresa XYZ,30-13579246-3,Materiales,Responsable Inscripto,María López,maria.lopez@empresa.com,3456-7890,S.A.,195975,2024-01-18,506100,Rosario,Argentina
P00004,Servicios AB,30-24681357-2,Agente Impositivo,Responsable Inscripto,Laura Ruiz,laura.ruiz@correo.com,4567-8901,S.R.L.,158607,2024-03-09,509100,Mendoza,Argentina
P00005,Carlos Méndez,30-12345678-9,Servicios,Monotributista,Carlos Méndez,carlos.mendez@correo.com,5678-9012,S.A.,238101,2024-03-28,516000,Buenos Aires,Argentina
P00005,Carlos Méndez,30-12345678-9,Servicios,Monotributista,Carlos Méndez,carlos.mendez@correo.com,5678-9012,S.A.,288617,2024-04-14,516000,Buenos Aires,Argentina
P00006,Grupo Alfa,30-97531246-1,Servicios,Responsable Inscripto,Alberto Fernández,alberto.fernandez@empresa.com,6789-0123,S.R.L.,251833,2024-01-09,501400,San Miguel de Tucumán,Argentina
P00007,Ana Sánchez,30-19283746-4,Servicios,Responsable Inscripto,Ana Sánchez,ana.sanchez@correo.com,7890-1234,S.A.,235688,2024-05-06,503100,Mar del Plata,Argentina
P00008,Compañía Beta,30-74859632-7,Agente Impositivo,Monotributista,Laura Martínez,laura.martinez@empresa.com,8901-2345,S.R.L.,110198,2024-06-12,506100,La Plata,Argentina
P00008,Compañía Beta,30-74859632-7,Agente Impositivo,Monotributista,Laura Martínez,laura.martinez@empresa.com,8901-2345,S.R.L.,269252,2024-01-21,506100,La Plata,Argentina
P00009,Fernando Gómez,30-12345679-8,Materiales,Responsable Inscripto,Fernando Gómez,fernando.gomez@correo.com,9012-3456,S.A.,12373,2024-01-20,509100,Mendoza,Argentina
P00009,Fernando Gómez,30-12345679-8,Materiales,Responsable Inscripto,Fernando Gómez,fernando.gomez@correo.com,9012-3456,S.A.,151274,2024-03-06,509100,Mendoza,Argentina
P00010,Soluciones Gama,30-98765432-1,Servicios,Responsable Inscripto,Javier Martínez,javier.martinez@empresa.com,0123-4567,S.R.L.,101610,2024-01-28,514100,Mar del Plata,Argentina
P00010,Soluciones Gama,30-98765432-1,Servicios,Responsable Inscripto,Javier Martínez,javier.martinez@empresa.com,0123-4567,S.R.L.,273713,2024-05-02,514100,Mar del Plata,Argentina
P00011,Javier López,30-65432198-7,Agente Impositivo,Monotributista,Javier López,javier.lopez@correo.com,1234-5678,S.A.,291963,2024-06-04,516000,Mar del Plata,Argentina
P00012,Proveedor Ltda.,30-32165487-0,Servicios,Responsable Inscripto,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,S.R.L.,224379,2024-04-09,501400,Salta,Argentina
P00012,Proveedor Ltda.,30-32165487-0,Servicios,Responsable Inscripto,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,S.R.L.,153447,2024-06-03,501400,Salta,Argentina
P00013,Repuestos Omega,30-45678901-2,Servicios,Monotributista,Sergio Castro,sergio.castro@correo.com,3456-7890,S.A.,79543,2024-04-14,503100,Santa Fe,Argentina
P00013,Repuestos Omega,30-45678901-2,Servicios,Monotributista,Sergio Castro,sergio.castro@correo.com,3456-7890,S.A.,41665,2024-02-01,503100,Santa Fe,Argentina
P00014,Estudio Jurídico Alfa,30-13579248-7,Materiales,Responsable Inscripto,María Hernández,maria.hernandez@correo.com,4567-8901,S.R.L.,58494,2024-01-15,506100,San Juan,Argentina
P00014,Estudio Jurídico Alfa,30-13579248-7,Materiales,Responsable Inscripto,María Hernández,maria.hernandez@correo.com,4567-8901,S.R.L.,218705,2024-06-19,506100,San Juan,Argentina
P00015,Rosa Pérez,30-24681358-6,Agente Impositivo,Responsable Inscripto,Rosa Pérez,rosa.perez@correo.com,5678-9012,S.A.,35574,2024-05-24,509100,Buenos Aires,Argentina
P00015,Rosa Pérez,30-24681358-6,Agente Impositivo,Responsable Inscripto,Rosa Pérez,rosa.perez@correo.com,5678-9012,S.A.,26434,2024-05-19,509100,Buenos Aires,Argentina
P00016,Marketing Global,30-97531247-8,Servicios,Responsable Inscripto,Gabriela Gómez,gabriela.gomez@empresa.com,6789-0123,S.R.L.,295412,2024-04-09,514100,Neuquén,Argentina
P00016,Marketing Global,30-97531247-8,Servicios,Responsable Inscripto,Gabriela Gómez,gabriela.gomez@empresa.com,6789-0123,S.R.L.,128265,2024-04-10,514100,Neuquén,Argentina
P00017,Julio Fernández,30-86430976-9,Materiales,Monotributista,Julio Fernández,julio.fernandez@correo.com,7890-1234,S.A.,136358,2024-05-01,516000,Rio Gallegos,Argentina
P00017,Julio Fernández,30-86430976-9,Materiales,Monotributista,Julio Fernández,julio.fernandez@correo.com,7890-1234,S.A.,288537,2024-03-05,516000,Rio Gallegos,Argentina
P00018,Consultora Zeta,30-19283747-0,Servicios,Responsable Inscripto, Laura Sánchez,laura.sanchez@empresa.com,8901-2345,S.R.L.,122441,2024-01-03,501400,San Rafael,Argentina
P00018,Consultora Zeta,30-19283747-0,Servicios,Responsable Inscripto, Laura Sánchez,laura.sanchez@empresa.com,8901-2345,S.R.L.,133962,2024-02-04,501400,San Rafael,Argentina
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,109470,2019-01-01,509100,Buenos Aires,Argentina
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,211512,2019-03-28,509100,Buenos Aires,Argentina
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,115392,2019-05-28,509100,Buenos Aires,Argentina
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,66906,2021-01-07,509100,Buenos Aires,Argentina
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,149277,2020-10-07,509100,Buenos Aires,Argentina
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,164820,2023-01-01,509100,Buenos Aires,Argentina
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,84017,2023-10-07,509100,Buenos Aires,Argentina
